addr,rooms,ruler,floor,price,descr
Հյուսիսային պող.,3 սենյակ,192 մ2, հարկ 3/10 ," Վաճառք - 990,000 $ "," Վաճառվում է 3 սենյականոց շքեղ վերանորոգված բնակարան ընդհանուր` 192 ք.մ. մակերեսով, որը գտնվում է Հյուսիսային պողոտայում՝ 10 հարկանի նորակառույց շենքի 3-րդ հարկում: Բնակարանն ունի նրբաճաշակ ինտերյեր, բոլոր սենյակները կահավորված են թանկարժեք կահույքով և համալրված ժամանակակից տեխնիկայով։ Ջեռուցման և հովացման համակարգը կենտրոնացված է։ Հատակը ծածկված է մանրահատակով, երեք սանհանգույցները սալիկապատված են և ապահովված անհրաժեշտ սանտեխնիկայով: Բացօթյա պատշգամբները բացվում են դեպի Հյուսիսային պողոտա։ Շենքն ունի անվտանգության համակարգ: Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները և ժամանցի վայրերը։ Վաճառվում է կահույքի և տեխնիկայի հետ միասին: "
Ն. Զարյան,4 սենյակ,150 մ2," հարկ 3/18 , նորակառույց "," Վաճառք - 290,000 $ "," Վաճառվում է 4 սենյականոց ընդարձակ բնակարան՝ 150 ք.մ. մակերեսով, որը գտնվում է Ն.Զարյան փողոցում՝ 18 հարկանի նորակառույց շենքի 3-րդ հարկում: Բնակարանը կապիտալ եվրո նորոգված է, խոհանոցը առանձին է։ Ունի ընդարձակ հյուրասենյակ և նախասրահ։ Հատակը ծածկված է մանրահատակով։ Բնակարանը ձեռուցվում է գազի կաթսայի միջոցով, իսկ հովացումը կատարվում է օդորակիչներով։ Սանհանգույցները պատված են սալիկներով, հագեցած են որակյալ սանտեխնիկայով: Բնակարանն ունի 2 բաց պատշգամ։ Միջանցքը լի է ներկառուցված պահարաններով։ Բնակարանն ունի հիանալի տեսարան։ Շենքն ունի շուրջօրյա անվտանգության համակարգ, բարեկարգ բակ և խաղահրապարակ։ "
Տիգրան Մեծ պող.,3 սենյակ,85 մ2, հարկ 2/5 ," Վաճառք - 105,000 $ "," Վաճառվում է 3 սենյականոց արևկող բնակարան՝ 85 ք.մ. մակերեսով, որը գտնվում է Տիգրան Մեծ պողոտայում` 5 հարկանի քարե` Ստալինյան նախագծի շենքի, 2-րդ հարկում: Բնակարանը վերանորոգված է։ Տեղադրված է եվրո պատուհաններ, երկաթե դուռ, հատակը ծածկված է լամինատով։ Առաստաղի բարձրությունը 3.15 մետր է: Սանհանգույցը սալիկապատված է և հագեցած է սանտեխնիկայով: Մոտակայքում են գտնվում բոլոր անհրաժեշտ խանութները, տրանսպորտի կանգառը։ Վաճառվում է խոհանոցի կահույքի հետ միասին: "
Էրեբունու,2 սենյակ,63 մ2, հարկ 4/4 ," Վաճառք - 61,000 $ "," Մուրացան և Էրեբունի փողոցների խաչմերուկի մոտակայքում վաճառվում է 63 քմ մակերեսով 2 սենյականոց բնակարան, որը գտնվում է ստալինյան նախագծով կառուցված` 4 հարկանի քարե շենքի 4-րդ հարկում: Բնակարանն ունի հին վերանորոգում, ջեռուցվում է գազի կաթսայի միջոցով, հատակը ծածկված է մանրահատակով, առկա է երկու պատշգամբ՝ փակ և բացօթյա, որոնք ունեն տարբեր տեսարաններ: Մոտակայքում են գտնվում Էրեբունի առևտրի կենտրոնը, ID բանկը, պոլիկլինիկան, բազում խանութներ ու տրանսպորտի կանգառներ: "
Էրեբունու,4 սենյակ,101 մ2, հարկ 4/5 ," Վաճառք - 95,000 $ "," Էրեբունու փողոցում` վաճառվում է 4 սենյականոց ընդարձակ բնակարան, որը տեղակայված է 5 հարկանի քարե շենքի 4-րդ հարկում և ընդհանուր մակերեսը կազմում է 101ք.մ.: Այն կապիտալ վերանորոգված է, ունի նորաոճ ինտերյեր։ Մուտքի դուռը մետաղյա է, պատուհանները՝ եվրոպական արտադրության։ Բնակարանը կահավորված է, պահովված է անհրաժեշտ տեխնիկայով: Ունի ջեռուցման և հովացման անհատական համակարգ: Հատակը ծածկված է բարձրորակ լամինատով, սանհանգույցը սալիկապատված է և հագեցած անհրաժեշտ սանտեխնիկայով: Ունի բացօթյա պատշգամբ: Մոտակայքում կան տարբեր խանութներ, ժամանցի վայրեր, դպրոց, մանկապարտեզ և այլն: Վաճառվում է կահույքի հետ միասին: "
Վերին Անտառային 186/11,4 սենյակ,144 մ2," հարկ 1/6 , նորակառույց "," Վաճառք - 325,000 $ "," Վերին Անտառային փողոցում՝ վաճառվում է 4 սենյականոց ընդարձակ բնակարան, որի ընդհանուր մակերեսը կազմում է 144.4 քմ: Այն գտնվում է 6 հարկանի նորակառույց մոնոլիտ շենքի բարձր` 1-ին հարկում: Բնակարանը կապիտալ նորգված է և չբնակեցված: Ապահովված է բոլոր կոմունալ հարմարություններով։ Ջեռուցումը անհատական է: Տեղադրված է եվրո պատուհաններ, երկաթե դուռ, հատակը ծածկված է որակյալ լամինատով։ Սանհանգույցները սալիկապատված են։ Շենքն ապահովված է անվտանգության համակարգով, ունի ավտոլվացման կետ, ավտոկայանտեղի, խաղահրապարակ, կանաչապատ և բարեկարգ բակ, ինչպես նաև տանիքում նախատեսված է տարածք՝ որտեղ կարելի է հիանալի ժամանակ անցկացնել։ "
Վերին Անտառային 186/11,4 սենյակ,144 մ2," հարկ 1/6 , նորակառույց "," Վաճառք - 325,000 $ "," Վերին Անտառային փողոցում՝ վաճառվում է կամ վարձակալության է տրվում 4 սենյականոց բնակարան, որի ընդհանուր մակերեսը կազմում է 144.4 քմ.: Այն գտնվում է 6 հարկանի նորակառույց շենքի բարձր 1-ին հարկում: Բնակարանը կապիտալ նորգված է և չբնակեցված: Ապահովված է բոլոր կոմունալ հարմարություններով։ Ջեռուցումը անհատական է: Տեղադրված է եվրո պատուհաններ, երկաթե դուռ, հատակը ծածկված է որակյալ լամինատով։ Սանհանգույցները սալիկապատ են։ Շենքն ունի անվտանգության համակարգ, ավտոլվացման կետ, ավտոկայանտեղ, խաղահրապարակ, կանաչապատ և բարեկարգ բակ, ինչպես նաև տանիքում նախատեսված է տարածք՝ որտեղ կարելի է հիանալի ժամանակ անցկացնել։ "
Բաշինջաղյան,3 սենյակ,84 մ2, հարկ 4/5 ," Վաճառք - 88,000 $ "," Վաճառվում է 3 սենյականոց լուսավոր և գեղեցիկ դիզայնով բնակարան՝ 84 ք.մ. մակերեսով, որը գտնվում է Բաշինջաղյան փողոցում` Գ. Չաուշի անվան հրապարակի հարևանությամբ, 5 հարկանի քարե` Չեխական նախագծի շենքի 4-րդ հարկում: Այն կապիտալ նոր եվրո վերանորոգված է։ Ջեռուցումն իրականացվում է գազի կաթսայի միջոցով: Տեղադրված են եվրո պատուհաններ և դռներ, հատակը ծածկված է սալիկով և բարձրորակ լամինատով: Բնակարանն ունի բաց և ֆրանսիական պատշգամբներ: Սանհանգույցը սալիկապատված է և ապահովված է սանտեխնիկայով: Անմիջապես հարևանությամբ են գտնվում բոլոր խանութները, տրանսպորտի կանգառը, դպրոց, մանկապարտեզ և այլն: Վաճառվում է մասնակի կահույքով: "
Սասնա Ծռեր,2 սենյակ,65 մ2," հարկ 7/16 , նորակառույց ", Վաճառք - պայման. ," Վաճառվում է կամ վարձով է տրվում 2 սենյականոց ընդարձակ և լուսավոր բնակարան՝ 65 ք.մ. մակերեսով, որը գտնվում Սասնա Ծռեր փողոցում՝ 16 հարկանի նորակառույց շենքի 7-րդ հարկում: Այն եվրո վերանորոգված է։ Տեղադրված է երկաթե դուռ, եվրո պատուհաններ, օդորակիչ, հատակը ծածկված է լամինատով։ Ջեռուցումը կենտրոնացված է։ Խոհանոցը և սանհանգույցը պատված են սալիկներով, հագեցած է սանտեխնիկայով: Բոլոր սենյակները և խոհանոցը կահավորված են նորաձ և գեղեցիկ կահույքով, լի է ներկառուցված պահարաններով։ Բնակարանն ունի լայնարձակ բաց պատշգամբ, որտեղից բացվում է հիանալի տեսարան դեպի ձորը։ Ավտոմեքենաների համար հատկացված է բացօթյա կայանատեղի։ Շենքն ունի անվտանգության համակարգ։ "
Փ․ Բուզանդ,3 սենյակ,88 մ2," հարկ 12/15 , նորակառույց ", Վաճառք - պայման. ," Վաճառվում է 3 սենյականոց շատ արևկող, ստուդիո ոճի բնակարան՝ 88 ք.մ. մակերեսով, որը գտնվում է Բուզանդի փողոցում՝ նորակառույց այգու հարևանությամբ, 15 հարկանի նորակառույց շենքի 12-րդ հարկում։ Բնակարանը եվրո նորոգված է։ Ջեռուցման և հովացման համակարգը անհատական է։ Սանհանգույցը հագեցած է սանտեխնիկայով: Բնակարանը կահավորված է և ապահովված անհրաժեշտ տեխնիկայով: Մոտակայքում են գտնվում բոլոր հանգստի և ժամանցի վայրերը։ "
Ֆուչիկ,3 սենյակ,72 մ2, հարկ 1/4 ," Վաճառք - 61,500 $ "," Վաճառվում է 3 ձևափոխված 4 սենյականոց բնակարան` 72 ք.մակերեսով, որը գտնվում է Ֆուչիկ և Մարգարյան փողոցների խաչմերուկում` Հանրապետական հիվանդանոցի հարևանությամբ, 4 հարկանի քարե շենքի 1-ին հարկում: Բնակարանը կապիտալ վերանորոգված է, տեղադրված է եվրո պատուհաններ` ճաղավանդակներով, հատակը ծածկված է լամինատով և սալիկով, սանհանգույցը պատված է սալիկներով, հագեցված է սանտեխնիկայով: Ջեռուցվում է գազի կաթսայի միջոցով: Բնակարանը վաճառվում է խոհանոցի կահույքի և ներկառուցված պահարանների հետ միասին: Մոտակայքում կան դպրոցներ, բազմատեսակ խանութներ, ուսումնական այլ հաստատություններ և տրանսպորտի կանգառ: "
